Organisation Description,Table Value ,Calendar Quarter Name
The Royal Women's Hospital - Parkville Campus,11.00,Jul - Sep 2025
The Royal Women's Hospital - Parkville Campus,11.00,Oct - Dec 2025
University Hospital Geelong,9.00,Oct - Dec 2024
University Hospital Geelong,9.00,Jan - Mar 2025
University Hospital Geelong,10.00,Apr - Jun 2025
University Hospital Geelong,10.00,Jul - Sep 2025
University Hospital Geelong,10.00,Oct - Dec 2025
Victorian Heart Hospital,6.00,Oct - Dec 2024
Victorian Heart Hospital,6.00,Jan - Mar 2025
Victorian Heart Hospital,6.00,Apr - Jun 2025
Victorian Heart Hospital,7.00,Jul - Sep 2025
Victorian Heart Hospital,7.00,Oct - Dec 2025
Warrnambool Base Hospital,16.00,Oct - Dec 2024
Warrnambool Base Hospital,15.00,Jan - Mar 2025
Warrnambool Base Hospital,16.00,Apr - Jun 2025
Warrnambool Base Hospital,17.00,Jul - Sep 2025
Warrnambool Base Hospital,15.00,Oct - Dec 2025
Werribee Mercy Hospital,31.00,Oct - Dec 2024
Werribee Mercy Hospital,31.00,Jan - Mar 2025
Werribee Mercy Hospital,35.00,Apr - Jun 2025
Werribee Mercy Hospital,33.00,Jul - Sep 2025
Werribee Mercy Hospital,34.00,Oct - Dec 2025
West Gippsland Hospital,12.00,Oct - Dec 2024
West Gippsland Hospital,12.00,Jan - Mar 2025
West Gippsland Hospital,13.00,Apr - Jun 2025
West Gippsland Hospital,14.00,Jul - Sep 2025
West Gippsland Hospital,13.00,Oct - Dec 2025
Williamstown Hospital,9.00,Oct - Dec 2024
Williamstown Hospital,8.00,Jan - Mar 2025
Williamstown Hospital,9.00,Apr - Jun 2025
Williamstown Hospital,10.00,Jul - Sep 2025
Williamstown Hospital,10.00,Oct - Dec 2025
Wimmera Base Hospital - Horsham,18.00,Oct - Dec 2024
Wimmera Base Hospital - Horsham,16.00,Jan - Mar 2025
Wimmera Base Hospital - Horsham,15.00,Apr - Jun 2025
Wimmera Base Hospital - Horsham,15.00,Jul - Sep 2025
Wimmera Base Hospital - Horsham,11.00,Oct - Dec 2025
Wodonga Hospital,19.00,Oct - Dec 2024
Wodonga Hospital,20.00,Jan - Mar 2025
Wodonga Hospital,21.00,Apr - Jun 2025
Wodonga Hospital,19.00,Jul - Sep 2025
Wodonga Hospital,15.00,Oct - Dec 2025
Wonthaggi Hospital,10.00,Oct - Dec 2024
Wonthaggi Hospital,10.00,Jan - Mar 2025
Wonthaggi Hospital,10.00,Apr - Jun 2025
Wonthaggi Hospital,9.00,Jul - Sep 2025
Wonthaggi Hospital,8.00,Oct - Dec 2025
