Organisation Description,Table Value,Period Axis
University Hospital Geelong,0,Apr - Jun 2025
University Hospital Geelong,0,Jul - Sep 2025
University Hospital Geelong,0,Oct - Dec 2025
Victorian Heart Hospital,0,Oct - Dec 2024
Victorian Heart Hospital,0,Jan - Mar 2025
Victorian Heart Hospital,0,Apr - Jun 2025
Victorian Heart Hospital,0,Jul - Sep 2025
Victorian Heart Hospital,0,Oct - Dec 2025
Warrnambool Base Hospital,0.08,Oct - Dec 2024
Warrnambool Base Hospital,0.08,Jan - Mar 2025
Warrnambool Base Hospital,0.09,Apr - Jun 2025
Warrnambool Base Hospital,0.08,Jul - Sep 2025
Warrnambool Base Hospital,0.29,Oct - Dec 2025
Werribee Mercy Hospital,0.34,Oct - Dec 2024
Werribee Mercy Hospital,0.34,Jan - Mar 2025
Werribee Mercy Hospital,0.79,Apr - Jun 2025
Werribee Mercy Hospital,0.47,Jul - Sep 2025
Werribee Mercy Hospital,0.34,Oct - Dec 2025
West Gippsland Hospital,0.86,Oct - Dec 2024
West Gippsland Hospital,0.22,Jan - Mar 2025
West Gippsland Hospital,0.13,Apr - Jun 2025
West Gippsland Hospital,0.62,Jul - Sep 2025
West Gippsland Hospital,0.56,Oct - Dec 2025
Williamstown Hospital,0,Oct - Dec 2024
Williamstown Hospital,0,Jan - Mar 2025
Williamstown Hospital,0,Apr - Jun 2025
Williamstown Hospital,0,Jul - Sep 2025
Williamstown Hospital,0,Oct - Dec 2025
Wimmera Base Hospital - Horsham,0.58,Oct - Dec 2024
Wimmera Base Hospital - Horsham,0.19,Jan - Mar 2025
Wimmera Base Hospital - Horsham,0.18,Apr - Jun 2025
Wimmera Base Hospital - Horsham,0.33,Jul - Sep 2025
Wimmera Base Hospital - Horsham,0.15,Oct - Dec 2025
Wodonga Hospital,2.02,Oct - Dec 2024
Wodonga Hospital,1.67,Jan - Mar 2025
Wodonga Hospital,2.74,Apr - Jun 2025
Wodonga Hospital,3.69,Jul - Sep 2025
Wodonga Hospital,2.25,Oct - Dec 2025
Wonthaggi Hospital,0.12,Oct - Dec 2024
Wonthaggi Hospital,0.02,Jan - Mar 2025
Wonthaggi Hospital,0,Apr - Jun 2025
Wonthaggi Hospital,0.02,Jul - Sep 2025
Wonthaggi Hospital,0,Oct - Dec 2025
