Organisation Description,Table Value ,Calendar Quarter Name
The Royal Women's Hospital - Parkville Campus,58.00,Oct - Dec 2024
The Royal Women's Hospital - Parkville Campus,71.00,Jan - Mar 2025
The Royal Women's Hospital - Parkville Campus,59.00,Apr - Jun 2025
The Royal Women's Hospital - Parkville Campus,70.00,Jul - Sep 2025
The Royal Women's Hospital - Parkville Campus,70.00,Oct - Dec 2025
University Hospital Geelong,125.00,Oct - Dec 2024
University Hospital Geelong,136.00,Jan - Mar 2025
University Hospital Geelong,155.00,Apr - Jun 2025
University Hospital Geelong,156.00,Jul - Sep 2025
University Hospital Geelong,149.00,Oct - Dec 2025
Victorian Heart Hospital,14.00,Oct - Dec 2024
Victorian Heart Hospital,16.00,Jan - Mar 2025
Victorian Heart Hospital,16.00,Apr - Jun 2025
Victorian Heart Hospital,22.00,Jul - Sep 2025
Victorian Heart Hospital,20.00,Oct - Dec 2025
Warrnambool Base Hospital,91.00,Oct - Dec 2024
Warrnambool Base Hospital,91.00,Jan - Mar 2025
Warrnambool Base Hospital,86.00,Apr - Jun 2025
Warrnambool Base Hospital,103.00,Jul - Sep 2025
Warrnambool Base Hospital,82.00,Oct - Dec 2025
Werribee Mercy Hospital,169.00,Oct - Dec 2024
Werribee Mercy Hospital,174.80,Jan - Mar 2025
Werribee Mercy Hospital,191.00,Apr - Jun 2025
Werribee Mercy Hospital,221.00,Jul - Sep 2025
Werribee Mercy Hospital,207.00,Oct - Dec 2025
West Gippsland Hospital,78.00,Oct - Dec 2024
West Gippsland Hospital,76.00,Jan - Mar 2025
West Gippsland Hospital,91.00,Apr - Jun 2025
West Gippsland Hospital,98.00,Jul - Sep 2025
West Gippsland Hospital,101.00,Oct - Dec 2025
Williamstown Hospital,58.50,Oct - Dec 2024
Williamstown Hospital,51.00,Jan - Mar 2025
Williamstown Hospital,60.00,Apr - Jun 2025
Williamstown Hospital,63.00,Jul - Sep 2025
Williamstown Hospital,66.00,Oct - Dec 2025
Wimmera Base Hospital - Horsham,101.00,Oct - Dec 2024
Wimmera Base Hospital - Horsham,85.00,Jan - Mar 2025
Wimmera Base Hospital - Horsham,96.00,Apr - Jun 2025
Wimmera Base Hospital - Horsham,96.00,Jul - Sep 2025
Wimmera Base Hospital - Horsham,78.90,Oct - Dec 2025
Wodonga Hospital,108.00,Oct - Dec 2024
Wodonga Hospital,125.00,Jan - Mar 2025
Wodonga Hospital,133.00,Apr - Jun 2025
Wodonga Hospital,125.00,Jul - Sep 2025
Wodonga Hospital,122.00,Oct - Dec 2025
Wonthaggi Hospital,54.00,Oct - Dec 2024
Wonthaggi Hospital,62.00,Jan - Mar 2025
Wonthaggi Hospital,46.00,Apr - Jun 2025
Wonthaggi Hospital,48.00,Jul - Sep 2025
Wonthaggi Hospital,32.00,Oct - Dec 2025
