Organisation Description,Table Value,Period Axis
Williamstown Hospital,81.68,Jul - Sep 2025
Williamstown Hospital,81.22,Oct - Dec 2025
Wimmera Base Hospital - Horsham,67.77,Oct - Dec 2024
Wimmera Base Hospital - Horsham,74.41,Jan - Mar 2025
Wimmera Base Hospital - Horsham,73.36,Apr - Jun 2025
Wimmera Base Hospital - Horsham,72.96,Jul - Sep 2025
Wimmera Base Hospital - Horsham,71.65,Oct - Dec 2025
Wodonga Hospital,71.52,Oct - Dec 2024
Wodonga Hospital,68.31,Jan - Mar 2025
Wodonga Hospital,63.92,Apr - Jun 2025
Wodonga Hospital,65.72,Jul - Sep 2025
Wodonga Hospital,64.53,Oct - Dec 2025
Wonthaggi Hospital,66.1,Oct - Dec 2024
Wonthaggi Hospital,61.07,Jan - Mar 2025
Wonthaggi Hospital,69.19,Apr - Jun 2025
Wonthaggi Hospital,66.34,Jul - Sep 2025
Wonthaggi Hospital,74.6,Oct - Dec 2025
